,Serial number,name,distance,mass,radius
0,0,Sun,1.5813e-05,1.0,1.0
1,1,Sirius,8.6,2.1,1.71
2,2,Canopus,310.0,15.0,71.0
3,3,Alpha Centauri,4.4,1.1,1.2
4,4,Arcturus,37.0,1.1,26.0
5,5,Vega,25.0,2.2,2.7
6,6,Capella,43.0,2.6,12.0
7,7,Rigel,860.0,23.0,78.9
8,8,Procyon,11.4,1.5,1.9
9,9,Betelgeuse,640.0,20.0,950.0
10,10,Achernar,144.0,6.7,9.3
11,11,Hadar,390.0,10.5,8.6
12,12,Altair,17.0,1.8,1.8
13,13,Acrux,320.0,18.0,8.9
14,14,Aldebaran,65.0,1.5,44.0
15,15,Antares,600.0,12.0,680.0
16,16,Spica,260.0,11.43,7.47
17,17,Pollux,34.0,1.9,8.8
18,18,Fomalhaut,25.0,1.9,1.8
19,19,Deneb,2600.0,19.0,203.0
20,20,Mimosa,350.0,16.0,8.4
21,21,Regulus,77.0,3.8,3.1
22,22,Adhara,430.0,12.5,14.0
23,23,Shaula,700.0,14.5,8.8
24,24,Castor,52.0,2.8,2.4
25,25,Gacrux,88.0,1.5,84.0
26,26,Bellatrix,240.0,8.6,5.8
27,27,Elnath,130.0,5.0,4.2
28,28,Miaplacidus,110.0,3.5,6.8
29,29,Alnilam,2000.0,32.0,42.0
30,30,Gamma Velorum,1100.0,9.0,6.0
31,31,Alnair,101.0,4.0,3.4
32,32,Alioth,81.0,2.9,4.2
33,33,Alnitak,1050.0,33.0,20.0
34,34,Dubhe,120.0,4.25,30.0
35,35,Mirfak,590.0,8.5,68.0
36,36,Wezen,1600.0,17.0,200.0
37,37,Sargas,270.0,5.7,26.0
38,38,Kaus Australis,140.0,3.5,6.8
39,39,Avior,630.0,9.0,130.0
40,40,Alkaid,104.0,6.1,3.4
41,41,Menkalinan,81.0,2.39,2.77
42,42,Atria,390.0,7.0,92.0
43,43,Alhena,109.0,2.8,3.3
44,44,Peacock,180.0,5.9,4.8
45,45,Alsephina[2],80.0,2.4,2.9
46,46,Mirzam,500.0,13.5,10.0
47,47,Polaris,430.0,5.4,39.0
48,48,Alphard,180.0,3.0,50.0
49,49,Mintaka,1200.0,24.0,16.5
50,50,Scheat,196.0,2.1,95.0
51,51,Almaaz,653.0,15.0,140.0
52,52,Rasalgethi,360.0,2.8,280.0
53,53,Tau Ceti,11.9,0.783,0.893
54,54,Delta Pavonis,19.92,0.991,1.22
55,55,Ran,10.48,0.82,0.74
56,56,V382 Carinae,8900.0,20.0,485.0
57,57,Eta Carinae,7500.0,100.0,60.0
58,58,Delta Cephei,887.0,4.5,44.5
59,59,Mu Cephei,6000.0,19.2,972.0
60,60,Titawin,44.25,1.27,1.48
61,61,Rho Cassiopeiae,8154.0,22.0,636.0
62,62,P Cygni,5545.0,30.0,76.0
63,64,VV Cephei,4900.0,18.2,516.0
64,65,61 Cygni,11.41,0.7,0.665
65,66,R Doradus,178.0,0.7,298.0
66,67,Polaris Australis,281.0,1.59,3.74
67,68,R Coronae Borealis,4566.0,0.85,85.0
68,69,54 Piscium,36.1,0.76,0.94
69,70,Mira,300.0,1.2,370.0
70,71,RW Cephei,14000.0,13.9,1158.0
71,72,Lacaille 8760,12.87,0.6,0.51
74,75,II Pegasi,130.0,0.8,3.4
75,76,VY Canis Majoris,3900.0,17.0,1420.0
76,77,Pistol Star,25000.0,100.0,320.0
77,78,S Doradus,169000.0,24.0,380.0
78,79,UY Scuti,5100.0,7.0,755.0
79,80,Barnard's Star,5.98,0.14,0.2
81,82,Proxima Centauri,4.25,0.12,0.15
82,83,KIC 8462852,1470.0,1.43,1.58
83,84,R136a1,163000.0,290.0,32.0
84,85,Melnick 42,163000.0,189.0,21.1
85,86,WR 102,18134.0,19.0,0.39
86,87,VFTS 352,164000.0,57.48,14.47
87,88,YBP 1194,2772.0,1.01,0.99
88,89,Gliese 1214,47.5,0.16,0.21
89,90,NML Cygni,5251.0,50.0,1640.0
90,91,VB 10,18.72,0.075,0.1
91,92,WOH G64,163000.0,20.0,1540.0
92,93,TRAPPIST-1,39.6,0.089,0.12
93,94,2MASS J0523-1403,40.3,0.07,0.086
96,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173536999999999
97,1,2MASS J00040288-6410358,192.0,0.018137172,0.16750368999999998
98,3,2MASS J00242463-0158201,37.7,0.075412452,0.11201167000000001
99,5,2MASS J00274197+0503417,236.0,0.029592228,0.14797871999999998
100,7,2MASSW J0030300-145033,87.2,0.051547752,0.10070773999999999
101,8,2MASS J00332386-1521309 [de],131.0,0.027683052,0.14695108999999998
102,9,2MASS J00345157+0523050,31.0,0.040092696000000004,0.09659721999999998
103,10,2MASS 0036+1821,28.6,0.040092696000000004,0.09659721999999998
104,11,2MASSW J0045214+163445,57.0,0.021955524,0.16647606
105,12,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.13359189999999999
106,13,2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659721999999998
107,15,2MASS J00584253-0651239 [de],96.0,0.027683052,0.14695108999999998
108,17,2MASSI J0103320+193536,70.0,0.049638576000000004,0.10070773999999999
109,18,SDSSp J010752.33+004156.1 [de],51.0,0.049638576000000004,0.10070773999999999
110,19,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606
111,20,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843
112,21,SDSS J015141.69+124429.6,70.0,0.044865636,0.09968010999999999
113,25,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.09968010999999999
114,26,2MASS J02103857-3015313,101.0,0.014318820000000001,0.15722739
115,27,2MASS J02340093-6442068,155.0,0.01909176,0.16647606
116,28,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489582999999998
117,29,2MASS J02431371−2453298,35.0,0.031501404000000004,0.10173536999999999
118,30,LP 771-21,53.0,0.074457864,0.11098404
119,32,Teegarden's star,12.578,0.07636704,0.13050900999999998
120,33,2MASS J02535980+3206373,184.0,0.06204822,0.19524969999999997
121,34,WISE J0254+0223,24.0,0.06204822,0.19524969999999997
122,35,DEN 0255-4700,16.2,0.07636704,0.09968010999999999
123,36,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968010999999999
124,37,2MASS J03205965+1854233,47.0,0.084003744,0.11817744999999999
125,38,2MASS J03231002-4631237,192.0,0.021955524,0.17058658
126,39,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762484999999999
127,40,2MASS J03264225-2102057 [de],80.0,0.017182584,0.13359189999999999
128,41,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070773999999999
129,42,2MASS J03341218-4953322,27.0,0.069684924,0.10687352
130,43,LP 944-20,20.9,0.069684924,0.14695108999999998
131,44,2MASP J0345432+254023,88.0,0.070639512,0.10790115
132,45,Teide 1,380.0,0.05250234,0.38844413999999994
133,46,2MASS J03510004-0052452,48.0,0.09736797600000001,0.13050900999999998
134,47,2MASS J03552337+1133437,29.8,0.01909176,0.13564716
135,49,2MASS J04151954−0935066,18.6,0.028637640000000002,0.09762484999999999
136,51,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167000000001
137,52,2MASS J04351612-1606574,34.0,0.0954588,0.12948137999999998
138,53,2MASS J04362788-4114465,142.0,0.037228932,0.20244310999999998
139,54,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968010999999999
140,56,2MASS J04433764+0002040,82.0,0.021000936,0.18291813999999998
141,57,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763
142,58,2MASS J04510093-3402150 [de],69.0,0.00099277152,7.398935999999999
143,59,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763
144,60,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181293999999997
145,61,2MASS J05160945-0445499 [de],73.0,0.044865636,0.09968010999999999
146,62,2MASS J0523−1403,40.0,0.064911984,0.10379063
147,64,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063
148,66,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998
149,67,2MASS J06085283-2753583,102.0,0.036274344,0.15517213
150,70,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173536999999999
151,71,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063
152,72,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115
153,74,2MASS J07075327-4900503,60.0,0.068730336,0.10584589
154,75,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999
155,76,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999998
156,77,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999998
157,78,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.09659721999999998
158,80,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589
159,81,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999
160,82,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998
161,85,2MASS J08251968+2115521 [de],35.0,0.049638576000000004,0.10070773999999999
162,86,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.10173536999999999
163,87,LHS 2021,55.0,0.084003744,0.11817744999999999
164,88,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865247999999999
165,89,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763
166,90,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763
167,91,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
168,92,2MASSI J0859254-194926 [de],50.0,0.0477294,0.10070773999999999
169,94,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998
170,95,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999
171,96,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865247999999999
172,97,2MASS J10073369-4555147,46.0,0.042001872,0.09659721999999998
173,98,2MASSI J1010148-040649 [de],55.0,0.048683988000000004,0.10070773999999999
174,101,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489582999999998
175,102,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968010999999999
176,103,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659721999999998
177,104,DEN 1048-3956,13.15,0.073503276,0.10995641
178,105,Luhman 16B,6.516,0.041047284,0.10481826
179,106,Luhman 16A,6.516,0.03818352,0.10379063
180,107,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763
181,108,TWA 28,180.0,0.034365168,0.24560357
182,109,Cha 110913-773444,163.0,0.007636704,0.18497339999999998
183,111,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612
184,112,2MASS J11145133−2618235,18.2,0.031501404000000004,0.09865247999999999
185,113,TWA 26,137.0,0.028637640000000002,0.2260786
186,115,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445
187,116,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763
188,119,2MASS J12074836-3900043,217.0,0.016227996,0.17572473
189,120,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.09659721999999998
190,123,2M 1237+6526,45.6,0.039138108,0.09659721999999998
191,125,TWA 29,262.0,0.001909176,2.5690749999999998
192,126,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.10070773999999999
193,127,Kelu-1A,61.0,0.060139044,0.10070773999999999
194,128,Kelu-1B,61.0,0.055366104,0.10070773999999999
195,129,2MASS J13204427+0409045,101.0,0.063957396,0.10379063
196,130,SDSSp J132629.82-003831.5 [de],65.0,0.048683988000000004,0.09968010999999999
197,131,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.09659721999999998
198,132,2MASS J13595510-4034582,51.0,0.060139044,0.102763
199,133,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865247999999999
200,134,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.10173536999999999
201,135,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.13564716
202,136,LHS 2924,38.5,0.072548688,0.10892878
203,137,2MASS J14392837+1929150,47.0,0.068730336,0.10584589
204,138,LSPM J1440+1339,72.0,0.087822096,0.12228796999999998
205,139,2MASS J14482563+1031590 [de],47.0,0.056320692,0.10173536999999999
